Strategy,Mean ($),Median ($),5th Pct ($),25th Pct ($),75th Pct ($),95th Pct ($),P(Goal) (%),Ann. Sharpe,Med. Max DD (%)
1. All Cash (SHV),102820.11063205998,102522.74649703829,98183.94692751477,100422.67724015236,104825.79337205549,108616.34029470752,0.0,0.0,0.0
2. All Equity (IVV),171419.66725071345,168671.69599002931,91084.87983545054,133616.10991804968,202814.91901443625,264113.3336906576,64.3,0.64,0.0
3. 60/40 IVV/AGG,143412.57323672588,143961.62368880148,98789.90810785808,125067.42208583729,161096.90284659847,187420.98893110323,40.3,0.669,0.0
4. Tangency A (IVV/AGG/SHV),133957.04103365718,134804.49895570817,100941.84121756909,121003.98402106453,147315.7610202825,165050.57549618167,20.3,0.676,0.0
5. Tangency B (+QUAL/USMV),158748.39181653893,157067.638547469,122759.85992317244,141331.79532642104,174107.51083392883,201176.39542012074,61.6,0.871,0.0
